seconds,x,y,z
552372.9590762501,0.0135345458984375,-0.390960693359375,-1.08001708984375
552372.9926342501,0.0401763916015625,-0.3357696533203125,-1.039306640625
552373.02619525,0.0914154052734375,-0.26629638671875,-0.9677734375
552373.05975725,0.0391082763671875,-0.310028076171875,-0.7404632568359375
552373.09331825,0.0380706787109375,-0.3512420654296875,-0.6993560791015625
552373.12687625,0.0516357421875,-0.3678131103515625,-0.7162933349609375
552373.16043725,0.008270263671875,-0.38751220703125,-0.6253509521484375
552373.1939992501,-0.02447509765625,-0.4221954345703125,-0.6141357421875
552373.2275602501,0.004241943359375,-0.473541259765625,-0.740875244140625
552373.2611182501,0.00018310546875,-0.4185638427734375,-0.7079315185546875
552373.29467925,-0.0067596435546875,-0.49310302734375,-0.738525390625
552373.32824125,0.03802490234375,-0.4792938232421875,-0.84100341796875
552373.36180225,0.0844268798828125,-0.4992828369140625,-1.059722900390625
552373.39536025,0.2236328125,-0.519561767578125,-1.089813232421875
552373.42892125,0.3228607177734375,-0.4865264892578125,-1.298095703125
552373.4624832501,0.3332366943359375,-0.3418121337890625,-1.369461059570312
552373.4960442501,0.210662841796875,-0.3892059326171875,-1.008499145507812
552373.5296022501,0.120635986328125,-0.377777099609375,-0.766845703125
552373.56316325,-0.0259857177734375,-0.3141326904296875,-0.642730712890625
552373.59672575,0.0078277587890625,-0.318695068359375,-0.6602020263671875
552373.63028675,0.04400634765625,-0.3704833984375,-0.6683197021484375
552373.66384475,0.0286407470703125,-0.410888671875,-0.692779541015625
552373.69740575,0.09033203125,-0.367950439453125,-0.7610931396484375
552373.7309677501,0.0267486572265625,-0.3707275390625,-0.760467529296875
552373.79063075,-0.0044403076171875,-0.44219970703125,-0.7987060546875
552373.8502937501,-0.0888824462890625,-0.71136474609375,-0.9244384765625
552373.90995675,0.068389892578125,-0.607818603515625,-1.237808227539062
552373.96961975,-0.017120361328125,-0.4563140869140625,-0.8630828857421875
552374.02928275,-0.2009735107421875,-0.697601318359375,-0.8499298095703125
552374.08894675,0.1678314208984375,-0.3743896484375,-1.504989624023438
