"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.991402916E-1,-9.126451135E-2,-2.458812654E-1,-6.252521253E-1,6.780317307E-1
6.090912917E-1,-4.092331749E-1,-1.577684033E-1,-6.603517914E-1,7.927339711E-1
6.190432915E-1,-6.593975258E-1,-3.234779102E-1,-4.603501189E-1,8.668132944E-1
6.289942916E-1,-4.123146576E-1,-2.905569166E-1,-1.101112568E-1,5.162859552E-1
6.389462915E-1,-5.431841147E-1,-2.448743749E-1,2.579879254E-1,6.492843842E-1
6.488972916E-1,-7.453498417E-1,-5.408791423E-2,8.576590669E-1,1.137563609E0
6.588492917E-1,-8.492770833E-1,7.006192267E-2,1.190046964E0,1.463691229E0
6.688002916E-1,-9.886004448E-1,2.488387871E-1,1.388866915E0,1.722847320E0
6.787512917E-1,-6.576877999E-1,4.072135466E-1,1.212714865E0,1.438420474E0
6.887032916E-1,-4.592754006E-2,2.635269928E-1,7.986469200E-1,8.422545445E-1
6.986542917E-1,3.745223486E-1,-2.351194650E-1,6.925986010E-1,8.217304756E-1
7.086062916E-1,6.730829340E-1,-7.616086096E-1,1.253455925E0,1.613765803E0
7.185572917E-1,8.486227798E-1,-1.008717498E0,1.863954648E0,2.282980189E0
7.285092915E-1,4.899960870E-1,-8.872278517E-1,1.878610986E0,2.134583956E0
7.384602916E-1,-1.670175290E-1,-6.330388623E-1,1.882248247E0,1.992860135E0
7.484122915E-1,-2.994797677E-1,-2.396864328E-1,1.913748659E0,1.951812401E0
7.583632916E-1,-3.181177676E-2,2.744314653E-1,1.987068358E0,2.006181766E0
7.683138750E-1,8.143218434E-1,6.488032481E-1,1.297382255E0,1.663510275E0
7.782658751E-1,1.498828483E0,7.592884344E-1,-5.436214864E-1,1.765936032E0
7.882168749E-1,1.971875246E0,9.648686430E-1,-2.905360420E0,3.641480833E0
7.981688750E-1,2.994395388E0,1.738778625E0,-7.133358098E0,7.929347552E0
8.081198749E-1,3.203669575E0,1.606677452E0,-9.082033346E0,9.763618227E0
8.180718750E-1,-1.396736097E-1,4.436264974E-1,-1.435983778E0,1.509424592E0
8.280228749E-1,-2.112604862E0,2.436911908E-1,3.106268996E-1,2.149179791E0
8.379738750E-1,-2.450872720E0,8.575891927E-1,3.706327808E-1,2.622900107E0
8.479258749E-1,-5.018577486E-1,1.402369890E0,-5.979877647E-1,1.605020833E0
8.578768750E-1,6.587911695E-1,1.079520263E0,-1.594633942E0,2.035246229E0
8.678288748E-1,6.355128193E-1,3.986523458E-1,-1.543574885E0,1.716223663E0
8.777798750E-1,5.510837030E-1,-7.935665667E-2,-7.667886579E-1,9.476051776E-1
8.877318751E-1,5.484068477E-1,-4.305775586E-1,3.631458597E-1,7.861437655E-1
8.976828749E-1,3.317341787E-1,-8.946850982E-1,1.368152715E0,1.668038021E0
9.076348750E-1,3.011111408E-1,-1.116439290E0,1.611727546E0,1.983625542E0
9.175858749E-1,5.706736296E-1,-1.203573328E0,1.161364471E0,1.767208132E0
9.275368750E-1,1.234767639E0,-1.081301617E0,3.485398073E-1,1.677898777E0
9.374888749E-1,1.212069917E0,-8.091552436E-1,-6.928843836E-1,1.613671113E0
9.474398750E-1,7.654209942E-1,-2.649183378E-1,-1.009434074E0,1.294221068E0
9.573918749E-1,6.830132604E-1,6.391065180E-2,-6.458612216E-1,9.421933999E-1
9.673428750E-1,-4.932009459E-2,-3.175947341E-1,-4.145544335E-2,3.240639453E-1
9.772948748E-1,-6.095424110E-1,-4.680351144E-1,8.105025883E-1,1.116921333E0
9.872458749E-1,-6.378622305E-1,-6.411819872E-1,1.016950085E0,1.360944540E0
9.971968750E-1,-8.590986514E-1,-2.823243293E-1,1.649066842E0,1.880738942E0
1.007148875E0,-1.884589764E0,-8.266504052E-1,1.416882971E0,2.498516925E0
1.017099875E0,-2.712670691E0,-2.763765123E0,-1.023221662E0,4.005491543E0
1.027051875E0,-1.934601585E0,-2.203452467E0,-2.078606519E0,3.594230256E0
1.037002875E0,-6.190149003E-1,-1.046404849E0,-1.497466666E0,1.928872461E0
1.046954875E0,-5.104677737E-2,-7.475475177E-1,-1.274410884E-1,7.600488772E-1
1.056905875E0,1.831564289E-1,-7.091500220E-1,8.060166045E-1,1.089083467E0
1.066857875E0,5.530021745E-1,-4.360257018E-1,1.183452328E0,1.377130797E0
1.076808875E0,6.435322756E-1,-3.590400910E-1,1.645284570E0,1.802776995E0
1.086759875E0,1.072823739E-1,-1.411693275E-1,2.127754413E0,2.135129301E0
1.096711875E0,-1.969856787E-1,3.259828573E-1,1.793162993E0,1.833167123E0
1.106662875E0,-1.104217440E-1,5.854474971E-1,1.253792725E0,1.388141898E0
1.116614875E0,-3.677752465E-1,9.231645468E-1,7.566355526E-1,1.248995105E0
