"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.753667501E-1,7.870849282E-2,-9.697361577E-1,5.449461731E-1,1.115145539E0
5.853177500E-1,3.295987755E-1,-1.169579955E0,6.531582543E-1,1.379553671E0
5.952687501E-1,4.756005344E-1,-9.562910700E-1,7.895410511E-1,1.328180541E0
6.052207500E-1,3.752459416E-1,-5.558480144E-1,5.419295946E-1,8.622437110E-1
6.151717501E-1,3.175102419E-1,-7.211774522E-1,-1.783946027E-1,8.079197395E-1
6.251227499E-1,4.036420673E-2,-6.693793076E-1,-6.548621330E-1,9.373058945E-1
6.350747501E-1,1.476831257E-1,-4.823490983E-1,-8.818273634E-1,1.015918529E0
6.450257502E-1,4.569435310E-1,-2.643491113E-1,-8.497245415E-1,1.000354757E0
6.549767500E-1,6.904441944E-1,-3.785563427E-1,-1.127006378E0,1.374831432E0
6.649287501E-1,7.547869554E-1,-5.492085010E-1,-1.281078172E0,1.585085047E0
6.748797500E-1,8.043447393E-1,-5.155589443E-1,-1.080865415E0,1.442581550E0
6.848307501E-1,8.168650898E-1,-4.754645866E-1,-8.158191691E-1,1.248557594E0
6.947827500E-1,6.901339996E-1,-5.263979280E-1,-5.027682332E-1,1.003073084E0
7.047337501E-1,6.392255089E-1,-5.172312480E-1,-1.479819915E-1,8.354855384E-1
7.146847500E-1,5.734808779E-1,-3.519708073E-1,1.726799726E-1,6.946813222E-1
7.246357501E-1,8.292141169E-1,-6.093360043E-1,2.229782699E-1,1.052903475E0
7.345877502E-1,7.443169311E-1,-1.064868017E0,4.549250722E-2,1.300008137E0
7.445387500E-1,8.609346771E-1,-1.075928611E0,2.764528477E-1,1.405438391E0
7.544897501E-1,1.262126761E0,-1.207647083E0,4.357824576E-1,1.800356017E0
7.644417500E-1,1.161968342E0,-1.356410775E0,3.908419641E-1,1.828326573E0
7.743927501E-1,9.050992817E-1,-1.408248096E0,3.927095648E-1,1.719473236E0
7.843437500E-1,6.091298899E-1,-1.317750739E0,6.869672207E-1,1.606060458E0
7.942957501E-1,3.633588445E-1,-1.039489932E0,1.090520922E0,1.549775742E0
8.042467500E-1,8.745709687E-2,-1.016913832E0,1.163003153E0,1.547365122E0
8.141977501E-1,-2.170518610E-1,-1.099513940E0,1.011909785E0,1.509968154E0
8.241497502E-1,-3.566839555E-1,-1.088008373E0,8.687101583E-1,1.437234499E0
8.341007500E-1,-2.697814670E-1,-1.059726561E0,7.987341897E-1,1.354170864E0
8.440517501E-1,-7.690901220E-2,-1.130139316E0,6.314826259E-1,1.296880942E0
8.540037500E-1,-1.356817156E-2,-1.145885868E0,5.786990793E-1,1.283795600E0
8.639547501E-1,-1.845439732E-2,-1.061263209E0,4.591131404E-1,1.156462295E0
8.739057500E-1,-1.111479682E-1,-6.464260626E-1,-3.421100628E-1,7.397701132E-1
8.838567501E-1,-2.922625494E-1,-1.407407266E-1,-1.096948181E0,1.143905880E0
8.938087500E-1,-5.564751282E-1,1.661650050E-1,-1.005315588E0,1.161005947E0
9.037597501E-1,-8.875962263E-1,9.720996022E-3,-8.895237610E-1,1.256651933E0
9.137107502E-1,-1.306215937E0,-3.490355051E-1,-7.942495215E-1,1.568074666E0
9.236627501E-1,-1.604670395E0,-5.916867685E-1,-2.623709983E-1,1.730288661E0
9.336137502E-1,-1.631345100E0,-6.721684295E-1,2.925019929E-1,1.788478306E0
9.435647500E-1,-1.363295286E0,-5.449581599E-1,8.060644054E-1,1.674900970E0
9.535167501E-1,-1.131715433E0,-5.248571867E-1,1.048550193E0,1.629635663E0
9.634677500E-1,-9.145632926E-1,-4.657424212E-1,1.041002314E0,1.461857667E0
9.734187501E-1,-7.171367338E-1,-3.633319473E-1,1.005429024E0,1.287316092E0
9.833707500E-1,-6.617919606E-1,-2.808669108E-1,7.531500274E-1,1.041196324E0
9.933217501E-1,-6.571255901E-1,-2.167738259E-1,4.040022558E-1,8.012632249E-1
1.003272750E0,-6.996594062E-1,-1.941070944E-1,3.742791045E-1,8.168755700E-1
1.013223750E0,-6.790257517E-1,9.949212849E-2,8.645108342E-2,6.916996782E-1
1.023175750E0,-7.025119704E-1,2.551666439E-1,-4.505308896E-2,7.487742420E-1
1.033126750E0,-7.491335750E-1,3.588395315E-1,-1.378293979E-1,8.419999201E-1
1.043077750E0,-7.982127643E-1,4.482802963E-1,-8.260449260E-2,9.191965749E-1
1.053029750E0,-8.342950550E-1,4.580147409E-1,-7.899208277E-2,9.550211991E-1
1.062980750E0,-8.133281091E-1,5.722079390E-1,1.661825466E-1,1.008236667E0
1.072931750E0,-6.970185113E-1,6.148125064E-1,1.702285275E-1,9.448846357E-1
1.082883750E0,-6.091445079E-1,5.075973755E-1,1.076820311E-1,8.001921938E-1
1.092834750E0,-4.942247933E-1,5.207126802E-1,1.984276021E-1,7.448310915E-1
1.102785750E0,-5.314955306E-1,5.239298183E-1,2.229680738E-1,7.789125211E-1
1.112736750E0,-6.563844556E-1,3.570765960E-1,1.882481843E-1,7.705722729E-1
1.122688750E0,-8.441961452E-1,3.327322984E-1,1.640614691E-1,9.221139190E-1
1.132639750E0,-9.249217813E-1,4.158908147E-1,1.936109582E-1,1.032439187E0
1.142590750E0,-1.058857664E0,6.366869402E-1,3.185206407E-1,1.275933075E0
1.152542750E0,-1.124606242E0,6.419120121E-1,3.548137236E-1,1.342640313E0
1.162493750E0,-1.649558885E0,4.237810475E-1,3.374045160E-1,1.736224841E0
1.172444750E0,-1.873498620E0,5.752151620E-1,5.737837636E-1,2.042081626E0
1.182396500E0,-2.185408545E0,5.357698452E-1,5.371743464E-1,2.313356028E0
1.192347500E0,-2.484099523E0,5.283748716E-1,6.246443072E-1,2.615360578E0
1.202298500E0,-2.551355367E0,5.264178085E-1,6.731759048E-1,2.690668266E0
