loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2025-04-07T09:04:46.447-07:00,1,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.430848,10.67798614501953,35.27732086181641,-37.86459350585938,314.1917114257812,298.5858154296875,14.17116355895996,549886.6649917917,-0.022125244140625,-0.2432861328125,-1.375274658203125,549886.6625047917,-0.4320848286151886,0.8853442072868347,-0.8552044034004211,549886.6260367917,-101.7428131103516,-96.28636169433594,-337.6063842773438,549886.6550467917,-0.08646797233324859,-0.05163397604361404,0.2840087911124641,-0.4237044453620911,0.9390789866447449,-0.7762882709503174,-0.08574090898036957,-0.02747204899787903,-0.2935672998428345,XArbitraryCorrectedZVertical,0.1402437813448594,-0.03164526325179345,-0.04642121401236532,0.9885217812846996,-0.04954349249601364,-0.2802060842514038,-0.9586605429649353,10.67798614501953,35.27732086181641,-37.86459350585938,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.505-07:00,2,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.490776,13.22115325927734,36.19746398925781,-38.24298095703125,317.1810913085938,301.5751953125,14.17125701904297,549886.7246597917,-0.0619354248046875,-0.1379547119140625,-1.291168212890625,549886.6960687917,-0.1231834515929222,-0.1711296737194061,-0.9411299824714661,549886.6859217917,-98.86412048339844,-94.86532592773438,-338.0127258300781,549886.7147147917,-0.1452654763406,-0.02241696809851848,0.2717160302364779,0.1336356997489929,-0.5498193502426147,-1.044233083724976,-0.03874051570892334,0.1367016136646271,-0.434971034526825,XArbitraryCorrectedZVertical,0.1342690004430824,-0.02090383692675781,-0.07340973333482495,0.9880009983017505,-0.02159272134304047,-0.2683849036693573,-0.96306973695755,13.22115325927734,36.19746398925781,-38.24298095703125,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.567-07:00,3,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.550317,14.43972015380859,36.06791687011719,-37.3388671875,321.4062194824219,305.8003234863281,14.17133045196533,549886.7843277917,-0.0044403076171875,-0.2440948486328125,-0.967529296875,549886.7631947917,0.6244942545890808,0.3658623993396759,-1.322365760803223,549886.7458067917,-97.56382751464844,-94.84555053710938,-337.3406982421875,549886.7743827917,-0.2216056342253641,-0.007931419431348223,0.2986127941684562,0.7529650330543518,0.689852237701416,-1.341760754585266,-0.04474203288555145,0.0910850465297699,-0.08124130964279175,XArbitraryCorrectedZVertical,0.1474052899254257,-0.02034586967115349,-0.1099314470972183,0.9827373656424162,-0.007580338977277279,-0.2941946685314178,-0.9557154774665833,14.43972015380859,36.06791687011719,-37.3388671875,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.624-07:00,4,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.609791,18.48481750488281,35.23078155517578,-35.81109619140625,325.6811828613281,310.0752868652344,14.17140674591064,549886.8439957917,0.10205078125,-0.1383209228515625,-0.8349609375,549886.8303217917,0.6835727095603943,-0.8395380973815918,-1.404867768287659,549886.8056947917,-93.79426574707031,-95.23667907714844,-335.8280029296875,549886.8340507917,-0.3052022694725554,0.03460489353135853,0.3458182055571031,0.6374405026435852,-1.043045163154602,-1.445192456245422,0.1200839430093765,0.1967699527740479,0.008045196533203125,XArbitraryCorrectedZVertical,0.1726147446853419,-0.009303614812504038,-0.146778301871016,0.9739475621513914,0.03254973143339157,-0.3389665484428406,-0.9402351975440979,18.48481750488281,35.23078155517578,-35.81109619140625,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.684-07:00,5,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.669568,19.38483428955078,35.20745086669922,-35.3453369140625,332.7035522460938,317.09765625,14.17152214050293,549886.9036637917,-0.047393798828125,-0.3695831298828125,-0.621612548828125,549886.8974487917,0.0435890220105648,-0.07825778424739838,-2.171490907669067,549886.8655807917,-92.368896484375,-95.91993713378906,-334.9521789550781,549886.8937187917,-0.4279642763251095,0.01551367795586,0.3689753581135857,0.08900216221809387,-0.1864836513996124,-2.210250377655029,-0.01152403932064772,0.09512656927108765,0.3152602910995483,XArbitraryCorrectedZVertical,0.1808729753030772,-0.0315022346910755,-0.2073525811225217,0.9608837382215359,0.01446898654103279,-0.3606599271297455,-0.9325851798057556,19.38483428955078,35.20745086669922,-35.3453369140625,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.744-07:00,6,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.729266,22.67341613769531,36.40731048583984,-35.39230346679688,338.3132934570312,322.7073974609375,14.17163276672363,549886.9633317917,0.1016387939453125,-0.40399169921875,-0.634002685546875,549886.9310117917,-0.06210571527481079,0.3091490566730499,-1.354807615280151,549886.9254697917,-89.48997497558594,-95.25395202636719,-335.1857299804688,549886.9533867917,-0.5270227292314754,0.06042493109003331,0.3654095180074757,0.2783893644809723,0.05781891196966171,-0.7865566611289978,-0.02280134335160255,-0.06141507625579834,0.3247442841529846,XArbitraryCorrectedZVertical,0.1830755630384363,-0.01862389692459783,-0.2507210530149053,0.9504081079000262,0.05640118941664696,-0.3573318123817444,-0.9322729706764221,22.67341613769531,36.40731048583984,-35.39230346679688,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.804-07:00,7,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.789156,23.42546081542969,36.459228515625,-34.5521240234375,339.8316650390625,324.2257690429688,14.17172622680664,549887.0229997917,0.086639404296875,-0.4352874755859375,-0.7262420654296875,549886.9981387916,0.5277026891708374,-0.01058047264814377,-0.145887702703476,549886.9853587917,-87.88780212402344,-94.59011840820312,-333.8468017578125,549887.0130557917,-0.5510919821955983,0.06545291015850496,0.3917183123519803,0.5282687544822693,0.1336841881275177,0.04514706507325172,0.03558685258030891,-0.05804213881492615,0.2432286739349365,XArbitraryCorrectedZVertical,0.1958999478962684,-0.02203518078926536,-0.2606001567132148,0.9451058986342248,0.06045195460319519,-0.3817771375179291,-0.9222753047943115,23.42546081542969,36.459228515625,-34.5521240234375,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.864-07:00,8,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.848539,23.95773315429688,36.27649688720703,-33.08734130859375,339.3695678710938,323.763671875,14.17182636260986,549887.0826677918,0.2747955322265625,-0.41558837890625,-1.162582397460938,549887.0652647917,0.08487334847450256,0.4274996817111969,0.002634931588545442,549887.0452467917,-87.57440185546875,-95.31095886230469,-332.98046875,549887.0727237917,-0.5476274168316931,0.08372936599809576,0.4131375289047818,-0.2069700807332993,0.0651489645242691,-0.04845975339412689,0.1390571743249893,-0.02208378911018372,0.01063382625579834,XArbitraryCorrectedZVertical,0.2083655524382428,-0.01597554339118047,-0.2561601640736016,0.9437746646419478,0.07659528404474258,-0.4014848470687866,-0.9126571416854858,23.95773315429688,36.27649688720703,-33.08734130859375,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.923-07:00,9,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.908176,23.66770935058594,36.79385375976562,-33.8045654296875,339.2080688476562,323.6021728515625,14.17192649841309,549887.1423367917,0.171478271484375,-0.5023193359375,-1.015777587890625,549887.1323917917,-0.3705687522888184,-0.3335486650466919,0.1788967847824097,549887.1051337917,-87.60160827636719,-94.27131652832031,-333.3372497558594,549887.1323917917,-0.5396042277330964,0.06702593821035981,0.3804103608154463,-0.3752711117267609,-0.3444083034992218,0.1723267138004303,0.1000436171889305,-0.1622219681739807,-0.13411945104599,XArbitraryCorrectedZVertical,0.1908883735310113,-0.01865185773405902,-0.255481181920606,0.9475986455824142,0.06218782439827919,-0.371301531791687,-0.9264274835586548,23.66770935058594,36.79385375976562,-33.8045654296875,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
2025-04-07T09:04:46.985-07:00,10,1744041886.236186,49.26524176915323,-122.9524566585969,84.18363,0.9302591,1.114125,250.4964678386225,53.0284819138307,6.450340797346594,18.41037498850026,-9999,1744041886.967884,23.71335601806641,37.59898376464844,-33.4053955078125,337.8035888671875,322.1976928710938,14.17202568054199,549887.2020047917,0.3371734619140625,-0.3975982666015625,-1.445816040039062,549887.1995187917,-0.6424239873886108,1.134564995765686,0.8696789741516113,549887.1650237917,-88.26162719726562,-93.66395568847656,-333.2772827148438,549887.1920597916,-0.5140629401210255,0.09146078834705863,0.3557585687569522,-0.7288426756858826,1.283418416976929,0.8075430989265442,0.1779050081968307,-0.1544296741485596,-0.4218820333480835,XArbitraryCorrectedZVertical,0.1823887869386882,-0.001418645892739391,-0.2421148390887092,0.9529494380744492,0.08561427146196365,-0.3483015298843384,-0.9334646463394165,23.71335601806641,37.59898376464844,-33.4053955078125,-1,2,549863.1711414166,walking,2,2025-04-07T09:04:22.941-07:00,2025-04-07T09:04:42.058-07:00,9,0.6311705,0.6332787,1.83839,7.47,0,0,2025-04-07T09:04:43.307-07:00,549884.696827,0,-0.1083374,99.94989,1744041886.419574,0.0.0.0,192.0.0.2,my_iOS_device,0,1,1744041886.40017,1,0.6,0
