"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.790784168E-1,3.965874016E-3,1.207865185E-1,-7.346690252E-2,1.414301841E-1
5.890304167E-1,2.364248559E-3,1.714561504E-1,-1.285997142E-1,2.143377887E-1
5.989814168E-1,-2.361895055E-2,1.441917533E-1,-1.601376951E-1,2.167791455E-1
6.089324167E-1,-6.089319617E-2,1.636243898E-1,-1.933970962E-1,2.605443515E-1
6.188844168E-1,-1.920317714E-1,1.685097384E-1,-1.693049598E-1,3.064896451E-1
6.288354166E-1,-4.799892352E-1,5.458024979E-2,-1.676572144E-1,5.113488155E-1
6.387864167E-1,-7.490266440E-1,-1.303636730E-1,-1.667286766E-1,7.783534237E-1
6.487384166E-1,-8.111514100E-1,-2.387482470E-1,-2.624054968E-2,8.459644802E-1
6.586894167E-1,-5.540622747E-1,-1.488379508E-1,1.231745213E-1,5.867790918E-1
6.686414168E-1,-1.330937745E-1,3.090896666E-2,1.568876664E-1,2.080458048E-1
6.785924167E-1,2.078467721E-1,8.138680995E-2,1.341320573E-1,2.604140977E-1
6.885434168E-1,2.717805570E-1,-5.524390876E-2,2.106909674E-1,3.482918953E-1
6.984954167E-1,1.513590509E-1,-1.830652124E-1,3.473532611E-1,4.208048506E-1
7.084464168E-1,-3.185405944E-2,-1.718905985E-1,3.845843835E-1,4.224526092E-1
7.183974166E-1,-1.629461858E-1,-1.138236541E-1,4.510407668E-1,4.928945699E-1
7.283494167E-1,-2.794346353E-1,-1.310939902E-1,4.829501921E-1,5.731581263E-1
7.383004166E-1,-3.354344795E-1,-1.653241754E-1,4.959549844E-1,6.211438799E-1
7.482514167E-1,-3.622705681E-1,-1.841364223E-1,4.571223827E-1,6.116429181E-1
7.582034168E-1,-4.850659340E-1,-1.948128533E-1,5.346958579E-1,7.477570920E-1
7.681544167E-1,-6.558535284E-1,-1.976563543E-1,5.325125076E-1,8.676297919E-1
7.781054168E-1,-6.780958982E-1,-1.915044987E-1,4.189377987E-1,8.197541701E-1
7.880574167E-1,-5.229227085E-1,-1.198901403E-1,3.082529300E-1,6.187420090E-1
7.980084168E-1,-3.528568798E-1,-1.907478690E-1,3.030225956E-1,5.027080869E-1
8.079604167E-1,-1.544243441E-1,-2.991441375E-1,3.893795389E-1,5.147334440E-1
8.179114168E-1,1.685781509E-2,-3.215489137E-1,5.100321561E-1,6.031672157E-1
8.278624166E-1,1.349664732E-1,-2.656898779E-1,3.639195194E-1,4.703663218E-1
8.378144167E-1,7.832243954E-2,-2.359971321E-1,2.550474337E-1,3.561997253E-1
8.477654168E-1,-5.152989899E-2,-2.224649209E-1,3.434759724E-1,4.124581374E-1
8.577164167E-1,-2.501698326E-1,-2.063494098E-1,3.426158470E-1,4.717527347E-1
8.676684168E-1,-4.406723379E-1,-1.837201005E-1,2.489370203E-1,5.384373917E-1
8.776194167E-1,-8.149259339E-1,-7.971918404E-2,2.738976876E-1,8.634114716E-1
8.875704168E-1,-9.114545473E-1,5.006269097E-2,-1.411851515E-1,9.236822569E-1
8.975224167E-1,-6.616783053E-1,5.217645943E-2,-3.419089186E-1,7.466205672E-1
9.074734168E-1,-2.042007408E-1,-1.657100916E-2,-2.477360388E-1,3.214742381E-1
9.174244166E-1,1.788972074E-1,-1.774846298E-1,1.956359586E-2,2.527602400E-1
9.273764167E-1,4.282722938E-1,-2.363929886E-1,2.711336356E-1,5.592962105E-1
9.373274166E-1,7.568029292E-1,-1.139745122E-1,1.970389066E-1,7.902943716E-1
9.472794167E-1,7.885179345E-1,2.325905442E-2,3.576162940E-1,8.661356305E-1
9.572304168E-1,4.673354220E-1,6.469710231E-2,5.492763287E-1,7.240805183E-1
9.671814167E-1,4.630850809E-1,3.045469648E-1,5.767483020E-1,7.998970245E-1
9.771334168E-1,-3.744773616E-1,-2.309422141E-1,5.498078406E-1,7.041706201E-1
9.870844167E-1,-9.058249211E-1,-2.366637146E-1,-8.771139228E-1,1.282909714E0
9.970354168E-1,-6.904231444E-1,2.654793781E-1,-2.274445267E0,2.391707484E0
1.006987417E0,-6.132428214E-1,-1.953168833E-1,-1.566829262E0,1.693862267E0
1.016938417E0,-8.169254623E-2,-5.523753530E-1,-4.894002922E-1,7.424990564E-1
1.026889417E0,1.184672569E0,1.483789444E-1,-2.472647166E-1,1.219264224E0
1.036841417E0,1.726740670E0,6.984797305E-1,-1.395706987E-1,1.867883094E0
1.046792417E0,1.215562313E0,6.219320762E-1,-2.836191587E-1,1.394572003E0
1.056743417E0,9.791063207E-1,7.472741604E-1,-2.760926227E-1,1.262257895E0
1.066695417E0,5.329787499E-1,1.872442174E-1,1.953976114E-1,5.977515967E-1
1.076646417E0,2.099235204E-1,-3.698597789E-2,1.719666489E-1,2.738765695E-1
1.086597417E0,-9.308672301E-2,1.061643863E-1,3.241135025E-1,3.535329934E-1
1.096549417E0,-4.702680930E-1,5.296934187E-2,6.850878525E-1,8.326483027E-1
1.106500417E0,-4.800073615E-1,-2.472202778E-2,7.048162850E-1,8.531027144E-1
1.116452417E0,1.736512683E-1,3.750719869E-1,5.020397432E-1,6.502904444E-1
1.126403417E0,5.114943255E-1,6.071099693E-1,1.344100193E-1,8.051552726E-1
1.136354417E0,2.964783188E-1,4.796131861E-1,-8.160069378E-1,9.918646704E-1
1.146306417E0,-1.439792801E-1,3.075307989E-1,-1.127954723E0,1.177958863E0
1.156257417E0,-5.916333396E-1,1.638974547E-3,-8.453283855E-1,1.031800743E0
1.166208417E0,-6.236355163E-1,-2.422214931E-1,-5.487038132E-1,8.652562531E-1
1.176160417E0,-3.079391538E-1,-1.442701060E-1,-4.191284180E-2,3.426325616E-1
1.186111417E0,-2.043946856E-1,6.568586648E-2,1.474493102E-1,2.604479212E-1
1.196062417E0,-3.736017776E-1,1.638851756E-1,7.302719191E-2,4.144509739E-1
1.206014417E0,-6.142296121E-1,8.784915268E-2,1.882978857E-1,6.484223807E-1
1.215965417E0,-7.797559550E-1,-4.055979609E-2,3.251567189E-1,8.458080977E-1
1.225916417E0,-7.840236184E-1,-1.472539401E-1,4.260890166E-1,9.043940552E-1
1.235868417E0,-4.230815743E-1,-1.159602267E-1,1.468294322E-1,4.626053122E-1
1.245819417E0,6.441848248E-2,3.733330250E-2,-3.912651929E-1,3.982862884E-1
1.255770417E0,1.850311925E-1,6.124607563E-2,-6.973425932E-1,7.240678948E-1
1.265722417E0,-3.007515371E-3,-1.337269914E-1,-5.425432599E-1,5.587889961E-1
1.275673417E0,-2.645315444E-1,-2.580171615E-1,-3.031958194E-1,4.779931993E-1
1.285624417E0,-3.677433792E-1,-1.112502944E-1,-2.856962724E-1,4.787840651E-1
1.295576417E0,-5.135729375E-1,-4.532761574E-3,-5.333011508E-2,5.163543447E-1
1.305527417E0,-6.415714118E-1,2.056699634E-2,5.448002851E-1,8.419288737E-1
1.315479417E0,-4.753143132E-1,1.120548713E-1,5.068458621E-1,7.038271936E-1
1.325430417E0,-4.088400958E-1,2.091958344E-1,-1.572330907E-2,4.595218641E-1
1.335381417E0,-5.365334916E-1,4.550946414E-1,6.359314799E-2,7.064158894E-1
1.345333417E0,-6.246108319E-1,5.171967494E-1,-5.891902998E-2,8.130821736E-1
1.355284417E0,-5.783109704E-1,5.228282028E-1,-4.248775466E-1,8.878703947E-1
1.365235417E0,-4.518387656E-1,4.127602154E-1,-2.729174750E-1,6.700844825E-1
1.375187417E0,-2.382415858E-1,2.049682975E-1,2.034831047E-2,3.149366760E-1
1.385138417E0,-7.016322568E-2,2.714610797E-1,3.369072104E-1,4.383154850E-1
1.395089417E0,-1.471986839E-1,4.552835065E-1,-4.638619566E-1,6.664221175E-1
1.405041417E0,-5.195571242E-1,6.247673911E-1,-7.450769229E-1,1.102457944E0
1.414992417E0,-8.855862460E-1,6.655406106E-1,1.463265717E-4,1.107793900E0
1.424943417E0,-1.053549562E0,6.317080361E-1,-1.519619720E-1,1.237785993E0
1.434895417E0,-9.777483049E-1,8.064526606E-1,-1.692334776E-1,1.278670251E0
1.444846417E0,-6.863856420E-1,1.185865036E0,5.598372772E-2,1.371326114E0
1.454797417E0,-4.348676607E-1,1.580456783E0,2.524339476E-1,1.658516331E0
1.464749417E0,-4.420573971E-1,1.887747261E0,8.016181827E-2,1.940471690E0
1.474700417E0,-7.532076225E-1,1.969671430E0,1.970663702E-1,2.117961855E0
1.484651417E0,-1.165909073E0,1.892699268E0,1.764258452E-1,2.229973221E0
1.494603417E0,-1.468266841E0,1.928276652E0,-1.383919001E-1,2.427593598E0
1.504554417E0,-1.597526852E0,2.287091040E0,-4.825495116E-1,2.831206721E0
